Dispense#,A or D,plate name,ADW_123,SOR_123,,plate type,well ,Source Well,volume,,Dispense#,A or D,plate name,ADW_123,SOR_123,,plate type,well ,Destination Well,volume,Transfer Volume
68,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,68,D,Output1,2,2,3,96 Well Microplate,14,F2,2,25
69,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,69,D,Output1,2,2,3,96 Well Microplate,14,F2,2,25
70,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,70,D,Output1,2,2,3,96 Well Microplate,14,F2,2,25
71,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,71,D,Output1,2,2,3,96 Well Microplate,15,G2,2,25
72,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,72,D,Output1,2,2,3,96 Well Microplate,15,G2,2,25
73,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,73,D,Output1,2,2,3,96 Well Microplate,15,G2,2,25
74,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,74,D,Output1,2,2,3,96 Well Microplate,15,G2,2,25
75,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,75,D,Output1,2,2,3,96 Well Microplate,15,G2,2,25
76,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,76,D,Output1,2,2,3,96 Well Microplate,16,H2,2,25
77,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,77,D,Output1,2,2,3,96 Well Microplate,16,H2,2,25
78,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,78,D,Output1,2,2,3,96 Well Microplate,16,H2,2,25
79,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,79,D,Output1,2,2,3,96 Well Microplate,16,H2,2,25
80,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,80,D,Output1,2,2,3,96 Well Microplate,16,H2,2,25
81,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,81,D,Output1,2,2,3,96 Well Microplate,17,A3,2,25
82,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,82,D,Output1,2,2,3,96 Well Microplate,17,A3,2,25
83,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,83,D,Output1,2,2,3,96 Well Microplate,17,A3,2,25
84,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,84,D,Output1,2,2,3,96 Well Microplate,17,A3,2,25
85,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,85,D,Output1,2,2,3,96 Well Microplate,17,A3,2,25
86,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,86,D,Output1,2,2,3,96 Well Microplate,18,B3,2,25
87,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,87,D,Output1,2,2,3,96 Well Microplate,18,B3,2,25
88,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,88,D,Output1,2,2,3,96 Well Microplate,18,B3,2,25
89,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,89,D,Output1,2,2,3,96 Well Microplate,18,B3,2,25
90,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,90,D,Output1,2,2,3,96 Well Microplate,18,B3,2,25
91,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,91,D,Output1,2,2,3,96 Well Microplate,19,C3,2,25
92,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,92,D,Output1,2,2,3,96 Well Microplate,19,C3,2,25
93,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,93,D,Output1,2,2,3,96 Well Microplate,19,C3,2,25
94,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,94,D,Output1,2,2,3,96 Well Microplate,19,C3,2,25
95,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,95,D,Output1,2,2,3,96 Well Microplate,19,C3,2,25
96,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,96,D,Output1,2,2,3,96 Well Microplate,20,D3,2,25
97,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,97,D,Output1,2,2,3,96 Well Microplate,20,D3,2,25
98,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,98,D,Output1,2,2,3,96 Well Microplate,20,D3,2,25
99,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,99,D,Output1,2,2,3,96 Well Microplate,20,D3,2,25
100,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,100,D,Output1,2,2,3,96 Well Microplate,20,D3,2,25
101,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,101,D,Output1,2,2,3,96 Well Microplate,21,E3,2,25
102,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,102,D,Output1,2,2,3,96 Well Microplate,21,E3,2,25
103,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,103,D,Output1,2,2,3,96 Well Microplate,21,E3,2,25
104,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,104,D,Output1,2,2,3,96 Well Microplate,21,E3,2,25
105,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,105,D,Output1,2,2,3,96 Well Microplate,21,E3,2,25
106,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,106,D,Output1,2,2,3,96 Well Microplate,22,F3,2,25
107,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,107,D,Output1,2,2,3,96 Well Microplate,22,F3,2,25
108,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,108,D,Output1,2,2,3,96 Well Microplate,22,F3,2,25
109,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,109,D,Output1,2,2,3,96 Well Microplate,22,F3,2,25
110,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,110,D,Output1,2,2,3,96 Well Microplate,22,F3,2,25
111,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,111,D,Output1,2,2,3,96 Well Microplate,23,G3,2,25
112,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,112,D,Output1,2,2,3,96 Well Microplate,23,G3,2,25
113,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,113,D,Output1,2,2,3,96 Well Microplate,23,G3,2,25
114,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,114,D,Output1,2,2,3,96 Well Microplate,23,G3,2,25
115,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,115,D,Output1,2,2,3,96 Well Microplate,23,G3,2,25
116,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,116,D,Output1,2,2,3,96 Well Microplate,24,H3,2,25
117,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,117,D,Output1,2,2,3,96 Well Microplate,24,H3,2,25
118,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,118,D,Output1,2,2,3,96 Well Microplate,24,H3,2,25
119,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,119,D,Output1,2,2,3,96 Well Microplate,24,H3,2,25
120,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,120,D,Output1,2,2,3,96 Well Microplate,24,H3,2,25
121,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,121,D,Output1,2,2,3,96 Well Microplate,25,A4,2,25
122,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,122,D,Output1,2,2,3,96 Well Microplate,25,A4,2,25
123,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,123,D,Output1,2,2,3,96 Well Microplate,25,A4,2,25
124,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,124,D,Output1,2,2,3,96 Well Microplate,25,A4,2,25
125,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,125,D,Output1,2,2,3,96 Well Microplate,25,A4,2,25
126,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,126,D,Output1,2,2,3,96 Well Microplate,26,B4,2,25
127,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,127,D,Output1,2,2,3,96 Well Microplate,26,B4,2,25
128,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,128,D,Output1,2,2,3,96 Well Microplate,26,B4,2,25
129,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,129,D,Output1,2,2,3,96 Well Microplate,26,B4,2,25
